Provincias;Municipios;Sexo;Edad;Total
05 Ávila;05040 Bularros;Total;De 80 a 84 años;1
05 Ávila;05040 Bularros;Total;De 85 a 89 años;8
05 Ávila;05040 Bularros;Total;De 90 a 94 años;4
05 Ávila;05040 Bularros;Total;De 95 a 99 años;0
05 Ávila;05040 Bularros;Total;100 y más años;1
05 Ávila;05041 Burgohondo;Total;De 65 a 69 años;96
05 Ávila;05041 Burgohondo;Total;De 70 a 74 años;83
05 Ávila;05041 Burgohondo;Total;De 75 a 79 años;71
05 Ávila;05041 Burgohondo;Total;De 80 a 84 años;63
05 Ávila;05041 Burgohondo;Total;De 85 a 89 años;44
05 Ávila;05041 Burgohondo;Total;De 90 a 94 años;30
05 Ávila;05041 Burgohondo;Total;De 95 a 99 años;6
05 Ávila;05041 Burgohondo;Total;100 y más años;3
05 Ávila;05042 Cabezas de Alambre;Total;De 65 a 69 años;10
05 Ávila;05042 Cabezas de Alambre;Total;De 70 a 74 años;13
05 Ávila;05042 Cabezas de Alambre;Total;De 75 a 79 años;10
05 Ávila;05042 Cabezas de Alambre;Total;De 80 a 84 años;10
05 Ávila;05042 Cabezas de Alambre;Total;De 85 a 89 años;10
05 Ávila;05042 Cabezas de Alambre;Total;De 90 a 94 años;6
05 Ávila;05042 Cabezas de Alambre;Total;De 95 a 99 años;1
05 Ávila;05042 Cabezas de Alambre;Total;100 y más años;0
05 Ávila;05043 Cabezas del Pozo;Total;De 65 a 69 años;3
05 Ávila;05043 Cabezas del Pozo;Total;De 70 a 74 años;9
05 Ávila;05043 Cabezas del Pozo;Total;De 75 a 79 años;3
05 Ávila;05043 Cabezas del Pozo;Total;De 80 a 84 años;10
05 Ávila;05043 Cabezas del Pozo;Total;De 85 a 89 años;9
05 Ávila;05043 Cabezas del Pozo;Total;De 90 a 94 años;2
05 Ávila;05043 Cabezas del Pozo;Total;De 95 a 99 años;0
05 Ávila;05043 Cabezas del Pozo;Total;100 y más años;0
05 Ávila;05044 Cabezas del Villar;Total;De 65 a 69 años;18
05 Ávila;05044 Cabezas del Villar;Total;De 70 a 74 años;10
05 Ávila;05044 Cabezas del Villar;Total;De 75 a 79 años;14
05 Ávila;05044 Cabezas del Villar;Total;De 80 a 84 años;25
05 Ávila;05044 Cabezas del Villar;Total;De 85 a 89 años;18
05 Ávila;05044 Cabezas del Villar;Total;De 90 a 94 años;9
05 Ávila;05044 Cabezas del Villar;Total;De 95 a 99 años;6
05 Ávila;05044 Cabezas del Villar;Total;100 y más años;0
