ID|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|PROVINCIA|MUNICIPIO|POBLACION|LATITUD_WGS84_4326|LONGITUD_WGS84_4326
37-E1-00009||CALLE SAN JUSTO|16||37001|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00011||AVDA FILIBERTO VILLALOBOS|43||37007|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00016||CALLE FEDERICO GARCIA LORCA|11||37600|37316|SALAMANCA|TAMAMES|TAMAMES||
37-E1-00020||CALLE MAESTRO TARREGA|7||37008|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00021||CALLE AZAFRANAL|14||37001|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00022||CALLE SALAMANCA|30|||37265|SALAMANCA|RÁGAMA|RAGAMA||
37-E1-00023||PLAZA ESPAÑA|33||37300|37246|SALAMANCA|PEÑARANDA DE BRACAMONTE|PEÑARANDA DE BRACAMONTE||
37-E1-00026||CTRA ALBA|26||37789|37134|SALAMANCA|FRESNO ALHÁNDIGA|FRESNO ALHANDIGA||
37-E1-00033||CALLE RUA MAYOR|27||37008|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00040||CALLE SALAMANCA|15||37470|37279|SALAMANCA|SANCTI-SPÍRITUS|SANCTI-SPIRITUS||
37-E1-00041||AVDA VILLAMAYOR|69||37007|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00042||CTRA ESTACION|71||37240|37173|SALAMANCA|LUMBRALES|LUMBRALES||
37-E1-00044||CALLE PLAZA BARCELONA|9|||37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00045||CTRA ESTACION|78||37240|37173|SALAMANCA|LUMBRALES|LUMBRALES||
37-E1-00046||PLAZA BASILIOS|2||37001|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00047||CALLE SANTA CLARA|90||37500|37107|SALAMANCA|CIUDAD RODRIGO|CIUDAD RODRIGO||
37-E1-00048||PASEO CANALEJAS|55||37008|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00050||PASEO ESTACION|11||37004|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00052||PLAZA MAYOR|9||37800|37008|SALAMANCA|ALBA DE TORMES|ALBA DE TORMES||
37-E1-00054||CALLE WETONES|25||37500|37107|SALAMANCA|CIUDAD RODRIGO|CIUDAD RODRIGO||
37-E1-00059||AVDA COMUNEROS|56||37003|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00060||CALLE SUBMARINO|6|||37168|SALAMANCA|LAGUNILLA|LAGUNILLA||
37-E1-00061||CALLE ANCHA|22||37002|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00067||CALLE CALZADA|20||37450|37187|SALAMANCA|MATILLA DE LOS CAÑOS DEL RÍO|MATILLA DE LOS CAÑOS DEL RIO||
37-E1-00071||PASEO ESTACION|109||37004|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00076||PLAZA FUENTE|9||37002|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00088||PLAZA MAYOR|9||37002|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00091||CALLE ISAAC PERAL|10||37004|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00104||AVDA VALVANERA|79||37740|37297|SALAMANCA|SANTIBÁÑEZ DE BÉJAR|SANTIBAÑEZ DE BEJAR||
37-E1-00105||CALLE VAZQUEZ CORONADO|16||37002|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00110||CALLE LEOPOLDO ALONSO|6||37760|37172|SALAMANCA|LINARES DE RIOFRÍO|LINARES DE RIOFRIO||
37-E1-00112||CALLE SAN JUAN|5||37488|37357|SALAMANCA|VILLAR DE CIERVO|VILLAR DE CIERVO||
37-E1-00116||CALLE WENCES MORENO|10||37007|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00118||CALLE SANTA ANA|35||37210|37376|SALAMANCA|VITIGUDINO|VITIGUDINO||
37-E1-00119||CALLE PEDRO VELASCO|16||37210|37376|SALAMANCA|VITIGUDINO|VITIGUDINO||
37-E1-00125||CALLE CALZADA|58||37208|37289|SALAMANCA|SAN MUÑOZ|SAN MUÑOZ||
37-E1-00132||PASEO ROBLES|42||37004|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00133||AVDA PORTUGAL|30||37006|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00137||CALLE LIRIO|4||37542|37221|SALAMANCA|NAVASFRÍAS|NAVASFRIAS||
37-E1-00138||PLAZA CALVO SOTELO|6||37220|37132|SALAMANCA|LA FREGENEDA|FREGENEDA (LA)||
37-E1-00140||CALLE HIEDRA|7|||37198|SALAMANCA|MONLERAS|MONLERAS||
37-E1-00143||CALLE CANTERAS RECIAS|3||37185|37354|SALAMANCA|VILLAMAYOR|VILLAMAYOR||
37-E1-00147||CTRA ENCINAS CANTALAPIEDRA|18||37330|37038|SALAMANCA|BABILAFUENTE|BABILAFUENTE||
37-E1-00148||CALLE TABLADO|0||37624|37010|SALAMANCA|LA ALBERCA|ALBERCA (LA)||
37-E1-00149||CALLE PEREZ OLIVA|114||37120|37117|SALAMANCA|DOÑINOS DE SALAMANCA|DOÑINOS DE SALAMANCA||
37-E1-00154||CALLE VIRGEN DE LA VEGA|8||37338|37375|SALAMANCA|VILLORUELA|VILLORUELA||
37-E1-00163||CALLE CORREDERA|21||37270|37285|SALAMANCA|SAN FELICES DE LOS GALLEGOS|SAN FELICES DE LOS GALLEGOS||
37-E1-00164||CTRA LEDESMA|150||37006|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00170||CALLE BARREROS|1||37420|37152|SALAMANCA|GOMECELLO|GOMECELLO||
37-E1-00172||CALLE QUEIPO DE LLANO|S-N||37810|37148|SALAMANCA|GARCIHERNÁNDEZ|GARCIHERNANDEZ||
